Category,Word,Meaning,Phrase,Expressions,Media
health,Iatrogenic,Caused by medical treatment,Iatrogenic complications result from therapeutic interventions.,This demonstrates iatrogenic.; The concept of iatrogenic is complex.,
health,Prophylactic,Intended to prevent disease,Prophylactic measures reduce infection transmission rates.,This demonstrates prophylactic.; The concept of prophylactic is complex.,
health,Palliative,Relieving symptoms without curing,Palliative care improves quality of life for terminal patients.,This demonstrates palliative.; The concept of palliative is complex.,
health,Therapeutic,Relating to healing or treatment,Therapeutic interventions must be evidence-based.,This demonstrates therapeutic.; The concept of therapeutic is complex.,
health,Homeostasis,Stable equilibrium in body systems,Homeostasis maintains optimal internal conditions.,This demonstrates homeostasis.; The concept of homeostasis is complex.,
health,Immunocompromised,Having weakened immune system,Immunocompromised patients require special infection precautions.,This demonstrates immunocompromised.; The concept of immunocompromised is complex.,
health,Psychosomatic,Physical symptoms caused by mental factors,Psychosomatic disorders require integrated treatment approaches.,This demonstrates psychosomatic.; The concept of psychosomatic is complex.,
health,Congenital,Present from birth,Congenital heart defects often require surgical correction.,This demonstrates congenital.; The concept of congenital is complex.,
health,Degenerative,Characterized by progressive deterioration,Degenerative diseases worsen over time without treatment.,This demonstrates degenerative.; The concept of degenerative is complex.,
health,Idiopathic,Of unknown cause,Idiopathic conditions challenge diagnostic capabilities.,This demonstrates idiopathic.; The concept of idiopathic is complex.,
health,Syndrome,Group of symptoms occurring together,The syndrome encompasses multiple organ system dysfunction.,This demonstrates syndrome.; The concept of syndrome is complex.,
health,Morbidity,State of being diseased,Obesity increases morbidity rates across multiple conditions.,This demonstrates morbidity.; The concept of morbidity is complex.,
health,Mortality,Death rate in population,Improved treatments reduced mortality from heart disease.,This demonstrates mortality.; The concept of mortality is complex.,
health,Remission,Temporary recovery from illness,Cancer remission brings hope to patients and families.,This demonstrates remission.; The concept of remission is complex.,
health,Exacerbation,Worsening of disease symptoms,Stress can cause exacerbation of chronic conditions.,This demonstrates exacerbation.; The concept of exacerbation is complex.,
health,Nutrition,Process of providing food for health,Good nutrition is essential for maintaining optimal health.,Nutrition affects energy levels.; Proper nutrition prevents disease.,
health,Exercise,Physical activity for health and fitness,Regular exercise reduces risk of cardiovascular disease.,Exercise improves mental health.; Exercise strengthens muscles.,
health,Immunity,Body's ability to resist infection,Vaccination helps build immunity against dangerous diseases.,Immunity protects from illness.; Build natural immunity safely.,
health,Diagnosis,Identification of disease or condition,Early diagnosis improves treatment outcomes significantly.,Accurate diagnosis guides treatment.; Diagnosis requires thorough examination.,
health,Treatment,Medical care for illness or injury,Modern treatment options have improved survival rates.,Treatment should be personalized.; Effective treatment requires compliance.,
health,Prevention,Action of stopping something from happening,Disease prevention is more cost-effective than treatment.,Prevention is better than cure.; Prevention requires lifestyle changes.,
health,Symptom,Physical sign of disease or condition,Persistent cough can be a symptom of various conditions.,Monitor symptoms carefully.; Symptoms guide medical decisions.,
health,Medication,Substance used to treat disease,Take medication exactly as prescribed by your doctor.,Medication requires proper dosing.; Medication can have side effects.,
health,Recovery,Process of returning to health,Physical therapy accelerated her recovery from surgery.,Recovery takes time and patience.; Support aids recovery process.,
health,Wellness,State of being in good health,Workplace wellness programs improve employee productivity.,Wellness encompasses mental health.; Wellness requires balanced lifestyle.,
